A,-,A,-,1
A,-,A,-,2
A,-,A,-,3
A,-,A,-,4
A,-,A,-,5
A,-,A,-,6
A,-,A,-,7
A,-,A,-,8
A,-,A,-,9
A,-,A,-,10
A,-,A,-,11
A,-,A,-,12
A,-,A,-,13
A,-,A,-,14
A,-,A,-,15
A,-,A,-,16
A,-,A,-,17
A,-,A,-,18
A,-,A,-,19
A,-,A,-,20
A,-,A,-,21
A,-,A,-,22
A,-,A,-,23
A,-,A,-,24
A,-,A,-,25
A,-,A,-,26
A,-,A,-,27
A,-,A,-,28
A,-,A,-,29
A,-,A,-,30
A,-,B,-,1
A,-,B,-,2
A,-,B,-,3
A,-,B,-,4
A,-,B,-,5
A,-,B,-,6
A,-,B,-,7
A,-,B,-,8
A,-,B,-,9
A,-,B,-,10
A,-,B,-,11
A,-,B,-,12
A,-,C,-,1
A,-,C,-,2
A,-,C,-,3
A,-,C,-,4
A,-,C,-,5
A,-,C,-,6
A,-,C,-,7
A,-,C,-,8
A,-,C,-,9
A,-,C,-,10
A,-,C,-,11
A,-,C,-,12
A,-,D,-,1
A,-,E,-,1
A,-,E,-,2
A,-,E,-,3
A,-,E,-,4
A,-,E,-,5
A,-,E,-,6
A,-,E,-,7
A,-,E,-,8
A,-,E,-,9
A,-,E,-,10
A,-,E,-,11
A,-,E,-,12
A,-,E,-,13
A,-,E,-,14
A,-,E,-,15
A,-,E,-,16
A,-,E,-,17
A,-,E,-,18
A,-,E,-,19
B,-,A,-,1
B,-,A,-,2
B,-,A,-,3
B,-,A,-,4
B,-,A,-,5
B,-,A,-,6
B,-,A,-,7
B,-,A,-,8
B,-,A,-,9
B,-,A,-,10
C,-,A,-,1
C,-,A,-,2
C,-,A,-,3
C,-,A,-,4
C,-,A,-,5
C,-,A,-,6
C,-,A,-,7
C,-,A,-,8
C,-,A,-,9
C,-,A,-,10
C,-,A,-,11
C,-,A,-,12
C,-,A,-,13
C,-,A,-,14
C,-,A,-,15
C,-,A,-,16
C,-,A,-,17
C,-,A,-,18
C,-,A,-,19
C,-,A,-,20
C,-,B,-,1
C,-,B,-,2
C,-,B,-,3
C,-,B,-,4
C,-,B,-,5
C,-,B,-,6
C,-,B,-,7
C,-,C,-,1
C,-,C,-,2
C,-,C,-,3
C,-,C,-,4
D,-,A,-,1
D,-,A,-,2
D,-,A,-,3
D,-,A,-,4
D,-,A,-,5
D,-,A,-,6
D,-,A,-,7
D,-,A,-,8
D,-,A,-,9
D,-,A,-,10
D,-,B,-,1
D,-,B,-,2
D,-,B,-,3
D,-,B,-,4
D,-,B,-,5
D,-,B,-,6
D,-,B,-,7
D,-,B,-,8
D,-,B,-,9
D,-,B,-,10
D,-,B,-,11
D,-,B,-,12
D,-,B,-,13
D,-,B,-,14
D,-,B,-,15
D,-,B,-,16
D,-,B,-,17
D,-,B,-,18
D,-,B,-,19
D,-,B,-,20
D,-,B,-,21
D,-,B,-,22
D,-,B,-,23
D,-,B,-,24
D,-,C,-,1
D,-,C,-,2
D,-,C,-,3
D,-,C,-,4
D,-,C,-,5
D,-,C,-,6
D,-,C,-,7
D,-,C,-,8
D,-,C,-,9
D,-,C,-,10
D,-,C,-,11
D,-,C,-,12
D,-,C,-,13
D,-,C,-,14
D,-,C,-,15
E,-,A,-,1
E,-,A,-,2
E,-,A,-,3
E,-,A,-,4
E,-,A,-,5
E,-,A,-,6
E,-,A,-,7
